label,start,acc
baseline,-1,0.7647987371744278
drop_0_15,0,0.5043409629044988
drop_1_16,1,0.5043409629044988
drop_2_17,2,0.5059194948697711
drop_3_18,3,0.48066298342541436
drop_4_19,4,0.5351223362273086
drop_5_20,5,0.5248618784530387
drop_6_21,6,0.5177584846093133
drop_7_22,7,0.5130228887134964
drop_8_23,8,0.5343330702446725
drop_9_24,9,0.516179952644041
drop_10_25,10,0.5114443567482242
drop_11_26,11,0.49171270718232046
drop_12_27,12,0.5201262825572218
drop_13_28,13,0.4980268350434096
drop_14_29,14,0.510655090765588
drop_15_30,15,0.47908445146014206
drop_16_31,16,0.4988161010260458
drop_17_32,17,0.5074980268350434
drop_18_33,18,0.48697711128650356
drop_19_34,19,0.5295974743488555
drop_20_35,20,0.5722178374112076
